UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,Total,NACIMIENTOS,POBLACION_FEMENINA_TOTAL,GESTANTES_ESPERADAS,Lat,Lon
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,36834,347,13991,501,,
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,265,5,134,9,-5.792363706,-77.62272206
10103,AMAZONAS,CHACHAPOYAS,BALSAS,1243,24,805,44,,
10104,AMAZONAS,CHACHAPOYAS,CHETO,654,11,291,14,,
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,600,16,344,23,,
10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,1998,34,1008,58,,
10107,AMAZONAS,CHACHAPOYAS,GRANADA,496,8,182,9,,
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,1330,14,630,25,,
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,4364,110,2764,170,,
10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,3913,62,2027,96,,
10111,AMAZONAS,CHACHAPOYAS,LEVANTO,819,14,427,26,,
10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,894,19,383,27,,
10113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,1469,23,486,31,,
10114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,2365,47,1280,71,,
10115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,497,14,279,22,,
10116,AMAZONAS,CHACHAPOYAS,OLLEROS,403,7,171,10,,
10117,AMAZONAS,CHACHAPOYAS,QUINJALCA,805,17,392,22,,
10118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,295,9,167,9,,
10119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,598,13,328,23,,
10120,AMAZONAS,CHACHAPOYAS,SOLOCO,1287,25,638,31,,
10121,AMAZONAS,CHACHAPOYAS,SONCHE,250,7,104,9,,
10201,AMAZONAS,BAGUA,BAGUA,29538,400,12516,593,,
10202,AMAZONAS,BAGUA,ARAMANGO,10733,204,5286,297,,
10203,AMAZONAS,BAGUA,COPALLIN,5040,104,3060,156,,
10204,AMAZONAS,BAGUA,EL PARCO,1306,23,714,42,,
10205,AMAZONAS,BAGUA,IMAZA,30997,650,12320,945,,
10206,AMAZONAS,BAGUA,LA PECA,6831,122,3907,185,,
10301,AMAZONAS,BONGARA,JUMBILLA,1372,23,817,33,,
10302,AMAZONAS,BONGARA,CHISQUILLA,306,6,166,9,,
10303,AMAZONAS,BONGARA,CHURUJA,284,7,127,12,,
10304,AMAZONAS,BONGARA,COROSHA,807,29,495,42,,
10305,AMAZONAS,BONGARA,CUISPES,690,21,442,34,,
10306,AMAZONAS,BONGARA,FLORIDA,6520,125,4208,188,,
10307,AMAZONAS,BONGARA,JAZAN,8190,129,4372,196,,
10308,AMAZONAS,BONGARA,RECTA,210,5,98,9,,
10309,AMAZONAS,BONGARA,SAN CARLOS,488,5,154,9,,
10310,AMAZONAS,BONGARA,SHIPASBAMBA,1639,19,852,34,,
10311,AMAZONAS,BONGARA,VALERA,897,15,604,26,,
10312,AMAZONAS,BONGARA,YAMBRASBAMBA,6013,196,4036,292,,
10401,AMAZONAS,CONDORCANQUI,NIEVA,22172,832,14153,1218,,
10402,AMAZONAS,CONDORCANQUI,EL CENEPA,12118,228,4860,344,,
10403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,17506,580,8290,847,,
10501,AMAZONAS,LUYA,LAMUD,2359,23,1077,44,,
10502,AMAZONAS,LUYA,CAMPORREDONDO,7425,113,3431,174,,
10503,AMAZONAS,LUYA,COCABAMBA,2149,43,1203,69,,
10504,AMAZONAS,LUYA,COLCAMAR,2030,38,1085,64,,
10505,AMAZONAS,LUYA,CONILA,1974,37,992,54,,
10506,AMAZONAS,LUYA,INGUILPATA,488,13,284,20,,
10507,AMAZONAS,LUYA,LONGUITA,904,28,563,45,,
10508,AMAZONAS,LUYA,LONYA CHICO,865,16,483,25,,
10509,AMAZONAS,LUYA,LUYA,4184,85,2110,134,,
10510,AMAZONAS,LUYA,LUYA VIEJO,399,18,232,19,,
10511,AMAZONAS,LUYA,MARIA,784,18,455,37,,
10512,AMAZONAS,LUYA,OCALLI,3969,54,2038,91,,
10513,AMAZONAS,LUYA,OCUMAL,3817,71,1998,107,,
10514,AMAZONAS,LUYA,PISUQUIA,5278,111,2974,163,,
10515,AMAZONAS,LUYA,PROVIDENCIA,1429,35,742,52,,
10516,AMAZONAS,LUYA,SAN CRISTOBAL,556,19,330,23,,
10517,AMAZONAS,LUYA,SAN FRANCISCO DE YESO,729,10,404,20,,
10518,AMAZONAS,LUYA,SAN JERONIMO,644,21,422,27,,
10519,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,434,16,257,22,,
